address,current_zone,current_potential_units,distance_to_station_ft,ballot_zone,ballot_potential_units,additional_units
2830 W 9TH AVE,I-A,36.0,2298.4182744123227,I-A,36,0.0
1001 N ALCOTT ST,C-RX-8,331.0,1889.8209815400737,C-RX-8,331,0.0
969 N BRYANT ST,C-RX-8,245.0,1932.886634288827,C-RX-8,245,0.0
956 N DECATUR ST,C-RX-8,906.0,1762.3333427343832,C-RX-8,906,0.0
5100 W 11TH AVE,C-MX-5,297.0,283.69973361077325,C-MX-8x,475,178.0
5090 W 8TH AVE,E-MU-2.5,93.0,2112.4783897260786,E-MU-2.5,93,0.0
1101 W ALAMEDA AVE,I-A,32.0,2498.09352838543,I-A,32,0.0
919 W ALAMEDA AVE,I-A,38.0,1519.6119435490189,I-A,38,0.0
801 S BROADWAY,C-MX-12,404.0,376.3930611044063,C-MX-12,404,0.0
455 S CHEROKEE ST,C-MX-16,399.0,11.48248041571511,C-MX-16,399,0.0
501 W TENNESSEE AV,C-RX-8,371.0,1285.3115275870014,C-RX-8,371,0.0
765 S BROADWAY,C-MX-8,193.0,549.4180290441107,C-MX-8,193,0.0
755 S BROADWAY,C-MX-8,146.0,591.6790467026044,C-MX-8,146,0.0
958 S ACOMA ST,C-MS-12,364.0,1006.0072373460931,C-MS-12,364,0.0
947 S ACOMA ST,C-MS-12,646.0,947.7625207162664,C-MS-12,646,0.0
1007 S ACOMA ST,C-MS-12,480.0,1307.6479205299495,C-MS-12,480,0.0
1008 S ACOMA ST,C-MS-12,351.0,1386.603889292728,C-MS-12,351,0.0
1059 S BROADWAY,C-MS-12,898.0,1631.3872151941557,C-MS-12,898,0.0
336 W TENNESSEE AVE,C-MX-16,1242.0,1363.944976695908,C-MX-16,1242,0.0
957 S CHEROKEE ST,C-MX-16,1010.0,857.1279796257569,C-MX-16,1010,0.0
907 S CHEROKEE ST,C-MX-16,413.0,705.6839521045639,C-MX-16,413,0.0
808 S DELAWARE WAY,C-MX-16,702.0,310.2474778278193,C-MX-16,702,0.0
708 S DELAWARE ST,C-MX-16,685.0,340.4405793591257,C-MX-16,685,0.0
709 S DELAWARE ST,C-MX-16,2170.0,594.0385097432551,C-MX-16,2170,0.0
1700 S SANTA FE DR,E-CC-3,123.0,2210.4268616772356,E-CC-3,123,0.0
2371 E BUCHTEL BLVD,C-MX-12,410.0,1816.40555157161,C-MX-12,410,0.0
1975 S COLORADO BLVD,C-MX-8,621.0,982.8047283345169,C-MX-8,621,0.0
1900 S HIGH ST,CMP-EI,72.0,1144.4679090194563,G-RX-5x,107,35.0
501 W EVANS AVE,U-MX-2X,33.0,425.31154920669485,C-MX-8x,133,100.0
2260 S FOX ST,E-MX-2X,39.0,721.7446574839075,G-RX-5x,59,20.0
621 W WESLEY AVE,E-MU-2.5,306.0,1189.243262465799,E-MU-2.5,306,0.0
2501 S DELAWARE ST MISC,I-A,168.0,2295.276844576368,I-A,168,0.0
1000 W WESLEY AVE,I-B,751.0,2325.737536498838,I-B,751,0.0
2000 S DEXTER ST,I-MX-3,90.0,1168.2636641136467,I-MX-3,90,0.0
2000 S DAHLIA ST,I-MX-3,114.0,1620.836882361645,I-MX-3,114,0.0
4510 E EVANS AVE,C-MX-8,408.0,871.3468918606114,C-MX-8,408,0.0
4040 E EVANS AVE,C-MX-12,187.0,713.9960471657151,C-MX-12,187,0.0
5315 E YALE AVE,S-MX-5,150.0,0.0,C-MX-8x,239,89.0
